variant,kind,s,phi_link,meanB_loop,meanB_farhalf,loop_len
k1r,ctrl,0.9097,-7.37655e-08,0.000294732,0.000244501,5.71594
k1r,link,1.0371,-0.504758,0.00267631,0.00210149,6.51617
k1r,ctrl,1.0371,-1.00074e-07,0.000279465,0.000220726,6.51617
k1r,link,1.1823,-0.504736,0.00215387,0.00134018,7.42843
k1r,ctrl,1.1823,-1.31706e-07,0.000262567,0.000195291,7.42843
k1r,link,1.3478,-0.504733,0.0017744,0.00086808,8.46842
k1r,ctrl,1.3478,-1.6577e-07,0.000244364,0.000169036,8.46842
k1r,link,1.5365,-0.504732,0.00148384,0.000566716,9.65399
k1r,ctrl,1.5365,-1.99803e-07,0.000225297,0.000142947,9.65399
k1r,link,1.7516,-0.504731,0.0012544,0.000372233,11.0056
k1r,ctrl,1.7516,-2.31675e-07,0.000205869,0.000118025,11.0056
k1r,link,1.9968,-0.504731,0.00106912,0.00024576,12.5463
k1r,ctrl,1.9968,-2.5909e-07,0.000186585,9.51404e-05,12.5463
k1r,link,2.2764,-0.50473,0.000916907,0.000162971,14.3028
k1r,ctrl,2.2764,-2.79919e-07,0.000167897,7.49245e-05,14.3028
k1r,link,2.5951,-0.50473,0.000790165,0.000108466,16.3052
k1r,ctrl,2.5951,-2.92724e-07,0.000150166,5.77128e-05,16.3052
k1r,link,2.9584,-0.50473,0.000683506,7.24045e-05,18.5879
k1r,ctrl,2.9584,-2.96963e-07,0.00013364,4.3554e-05,18.5879
k1r,link,3.3725,-0.50473,0.000592988,4.84484e-05,21.1903
k1r,ctrl,3.3725,-2.92951e-07,0.000118465,3.2266e-05,21.1903
k1r,link,3.8447,-0.504729,0.000515655,3.24804e-05,24.1569
k1r,ctrl,3.8447,-2.81682e-07,0.000104695,2.35155e-05,24.1569
k1r,link,4.3829,-0.504729,0.000449219,2.18081e-05,27.5389
k1r,ctrl,4.3829,-2.64581e-07,9.23128e-05,1.68967e-05,27.5389
k1r,link,4.9966,-0.504729,0.000391894,1.46597e-05,31.3943
k1r,ctrl,4.9966,-2.43259e-07,8.12585e-05,1.19952e-05,31.3943
k1r,link,5.6961,-0.504729,0.000342323,9.86362e-06,35.7895
k1r,ctrl,5.6961,-2.19297e-07,7.14412e-05,8.43015e-06,35.7895
k1r,link,6.4935,-0.504729,0.000299341,6.64138e-06,40.8
k1r,ctrl,6.4935,-1.94113e-07,6.27563e-05,5.8756e-06,40.8
k1r,link,7.4026,-0.504729,0.00026189,4.47427e-06,46.512
k1r,ctrl,7.4026,-1.68876e-07,5.50947e-05,4.06754e-06,46.512
k1r,link,8.4390,-0.504729,0.000229311,3.0156e-06,53.0237
k1r,ctrl,8.4390,-1.4448e-07,4.83492e-05,2.8006e-06,53.0237
k1r,link,9.6204,-0.504729,0.000200913,2.03315e-06,60.447
k1r,ctrl,9.6204,-1.21557e-07,4.24185e-05,1.91993e-06,60.447
